distance,risk,value
0.238027224,heat,0
0.238239375,heat,0
0.2396362,heat,0
0.241322699,heat,0
0.243766213,heat,0
0.246835718,heat,0
0.248104725,heat,0
0.24894487,heat,0
0.251471284,heat,0
0.251592548,heat,0
0.255107042,heat,0
0.256023942,heat,0
0.256220861,heat,0
0.257425739,heat,0
0.257994309,heat,0
0.258642146,heat,0
0.260008198,heat,0
0.260236927,heat,0
0.261550985,heat,0
0.261581135,heat,0
0.263470984,heat,0
0.263880907,heat,0
0.264305982,heat,0
0.266847648,heat,0
0.267604399,heat,0
0.268297385,heat,0
0.270244947,heat,0
0.273545636,heat,0
0.273740392,heat,0
0.274571114,heat,0
0.275455439,heat,0
0.275888481,heat,0
0.277152722,heat,0
0.278365903,heat,0
0.278602926,heat,0
0.279002642,heat,0
0.279675191,heat,0
0.280327539,heat,0
0.280806054,heat,0
0.281861492,heat,0
0.283232022,heat,0
0.283766183,heat,0
0.284344526,heat,0
0.284596488,heat,0
0.286312413,heat,0
0.288609178,heat,0
0.289290254,heat,0
0.289825097,heat,0
0.293273283,heat,0
0.295164535,heat,0
0.295829554,heat,0
0.29791226,heat,0
0.298925762,heat,0
0.300012687,heat,0
0.300642786,heat,0
0.30160865,heat,0
0.303020047,heat,0
0.303905598,heat,0
0.305461262,heat,0
0.306198295,heat,0
0.306890902,heat,0
0.307754908,heat,0
0.308909178,heat,0
0.309142296,heat,0
0.310707994,heat,0
0.310827848,heat,0
0.31158475,heat,0
0.312055627,heat,0
0.312138813,heat,0
0.312708833,heat,0
0.313498862,heat,0
0.314401035,heat,0
0.314522448,heat,0
0.315261426,heat,0
0.316049101,heat,0
0.317105688,heat,0
0.317851188,heat,0
0.318868117,heat,0
0.319950788,heat,0
0.321263543,heat,0
0.322850729,heat,0
0.324697324,heat,0
0.328251806,heat,0
0.332276641,heat,0
0.333282926,heat,0
0.334800759,heat,0
0.337606397,heat,0
0.341717794,heat,0
0.346380854,heat,0
0.346533409,heat,0
0.347791714,heat,0
0.349686231,heat,0
0.351041357,heat,0
0.356288652,heat,0
0.356573503,heat,0
0.358960227,heat,0
0.359224933,heat,0
0.363538086,heat,0
0.365291644,heat,0
0.36820337,heat,0
0.368810346,heat,0
0.36898875,heat,0
0.369716565,heat,0
0.370071385,heat,0
0.371432315,heat,0
0.371497829,heat,0
0.371563204,heat,0
0.371996651,heat,0
0.372329969,heat,0
0.372467712,heat,0
0.375086766,heat,0
0.380143862,heat,0
0.383367562,heat,0
0.387751364,heat,0
0.38790099,heat,0
0.39029902,heat,0
0.390605643,heat,0
0.392272884,heat,0
0.397355187,heat,0
0.399699313,heat,0
0.403929191,heat,0
0.404662339,heat,0
0.408678954,heat,0
0.415443466,heat,0
0.420379529,heat,0
0.421385885,heat,0
0.423333389,heat,0
0.424801275,heat,0
0.426949333,heat,0
0.428298364,heat,0
0.428607597,heat,0
0.4314084,heat,0
0.432913432,heat,0
0.433993441,heat,0
0.434716839,heat,0
0.435757156,heat,0
0.437703165,heat,0
0.438139973,heat,0
0.438518117,heat,0
0.439495579,heat,0
0.43979512,heat,0
0.439961015,heat,0
0.440354172,heat,0
0.441482245,heat,0
0.441884858,heat,0
0.442332336,heat,0
0.442467429,heat,0
0.442938676,heat,0
0.443711541,heat,0
0.444060826,heat,0
0.444557806,heat,0
0.445039818,heat,0
0.445660821,heat,0
0.44585408,heat,0
0.44610414,heat,0
0.446279083,heat,0
0.446457167,heat,0
0.446981705,heat,0
0.447662246,heat,0
0.44841372,heat,0
0.449142352,heat,0
0.450205409,heat,0
0.450549881,heat,0
0.451779882,heat,0
0.452037781,heat,0
0.452667112,heat,0
0.453540628,heat,0
0.454257524,heat,0
0.457134684,heat,0
0.459069845,heat,0
0.462194513,heat,0
0.465281923,heat,0
0.466891961,heat,0
0.468762599,heat,0
0.469309819,heat,0
0.47050709,heat,0
0.478661493,heat,0
0.482856896,heat,0
0.485484021,heat,0
0.485857893,heat,0
0.487097429,heat,0
0.491929766,heat,0
0.492528126,heat,0
